Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Block,AveStim,Duration,Condition
4,57,53.0,3,2.58638,2.028995,2,43,2000,1
4,53,54.0,2,2.52846,2.26494,2,43,100,0
4,47,33.0,4,2.27735,1.84673,2,43,2000,1
4,41,40.0,1,3.26267,2.532605,2,43,100,0
4,39,29.0,6,3.18211,2.920545,2,43,2000,1
4,47,30.0,1,2.856135,1.52446,2,43,100,0
4,53,34.0,2,2.723905,2.077595,2,43,100,0
4,56,48.0,6,2.628075,3.58488,2,43,2000,1
4,56,49.0,2,3.56885,2.178455,2,43,100,0
4,28,20.0,8,1.99028,2.210595,2,43,2000,1
4,48,37.0,3,3.835065,3.355745,2,43,100,0
4,44,39.0,6,3.161605,2.153185,2,43,2000,1
4,50,37.0,4,2.82487,3.061745,2,43,100,0
4,43,29.0,6,2.113985,1.70263,2,43,2000,1
4,55,39.0,6,2.888375,1.90358,2,43,2000,1
4,54,39.0,1,6.44625,1.476145,2,43,100,0
4,46,30.0,1,3.058335,3.009405,2,43,100,0
4,57,42.0,6,2.764945,2.10163,2,43,2000,1
4,32,26.0,2,2.78467,1.68214,2,43,100,0
4,36,24.0,8,1.856465,2.048955,2,43,2000,1
4,30,31.0,1,4.25793,1.61236,2,43,100,0
4,54,44.0,7,2.0995,1.45105,2,43,2000,1
4,49,39.0,3,3.115985,1.47531,2,43,100,0
4,41,31.0,4,2.1038,1.49935,2,43,2000,1
4,49,31.0,3,4.375965,1.918325,2,43,100,0
4,39,29.0,6,2.72254,1.82352,2,43,2000,1
4,44,37.0,3,2.80343,1.72604,2,43,2000,1
4,32,29.0,6,3.11806,2.565535,2,43,100,0
4,40,27.0,6,2.331005,1.217265,2,43,2000,1
4,57,41.0,3,3.457035,2.08816,2,43,100,0
4,26,20.0,4,4.05613,2.079645,3,31,100,0
4,19,20.0,4,4.98106,1.91501,3,31,2000,1
4,36,27.0,6,3.915205,1.72576,3,31,100,0
4,42,36.0,7,4.524565,1.871055,3,31,2000,1
4,16,21.0,7,7.31099,1.81426,3,31,100,0
4,29,24.0,8,2.45617,2.032015,3,31,2000,1
4,38,31.0,7,2.55654,2.947235,3,31,2000,1
4,19,28.0,1,4.486855,2.04404,3,31,100,0
4,40,40.0,4,3.10069,4.624545,3,31,100,0
4,28,26.0,2,7.52962,2.18492,3,31,2000,1
4,40,25.0,0,7.828135,1.44291,3,31,100,0
4,35,42.0,7,5.06588,2.21761,3,31,2000,1
4,17,19.0,6,4.475625,3.90362,3,31,100,0
4,31,24.0,7,6.51284,1.83081,3,31,2000,1
4,39,31.0,7,4.128835,2.95153,3,31,2000,1
4,31,22.0,4,3.76467,1.837135,3,31,100,0
4,26,25.0,2,2.87662,1.81419,3,31,100,0
4,34,28.0,3,2.516245,2.557545,3,31,2000,1
4,34,32.0,2,3.69405,2.149835,3,31,100,0
4,21,18.0,8,2.90194,2.83138,3,31,2000,1
4,26,24.0,6,2.885815,2.928055,3,31,100,0
4,34,37.0,8,3.015495,2.794745,3,31,2000,1
4,26,22.0,6,3.618975,1.73343,3,31,100,0
4,37,33.0,6,3.203975,2.10474,3,31,2000,1
4,16,21.0,4,3.72187,2.38382,3,31,100,0
4,42,31.0,6,3.05612,1.612815,3,31,2000,1
4,20,20.0,9,3.143875,1.66061,3,31,2000,1
4,37,32.0,3,4.083165,2.524665,3,31,100,0
4,35,31.0,3,3.00901,2.35402,3,31,2000,1
4,40,29.0,2,3.199875,1.692785,3,31,100,0
4,30,28.0,2,4.503685,1.7244,3,31,100,0
4,22,20.0,9,2.614705,2.000525,3,31,2000,1
4,25,26.0,5,2.63595,3.31572,3,31,2000,1
4,29,31.0,6,2.33997,1.29807,3,31,100,0
4,20,22.0,9,2.178525,2.17446,3,31,2000,1
4,19,19.0,4,3.16025,2.153305,3,31,100,0
4,41,34.0,4,2.30883,2.928255,3,31,100,0
4,31,26.0,5,2.21347,1.30565,3,31,2000,1
4,38,31.0,5,2.836465,1.266045,3,31,100,0
